numero,kysymys
10,"Jos Suomessa otettaisiin käyttöön sosiaalisen vähimmäisturvan korvaava kansalaisen perustulo, se heikentäisi työn tarjontaa. Perustulolla tarkoitetaan tässä ratkaisua, joka olisi julkisen talouden kannalta kustannusneutraali, olisi suuruudeltaan noin 560 euroa, ja kuuluisi myös työssä käyville henkilöille.﻿"
11,Työntekijälle osoitettu matalapalkkatuki on pätevä keino työllistää heikon osaamisen tai matalan tuottavuuden työntekijöitä.﻿
12,Suomalaisten tuloerojen kasvu nykyisestä haittaisi talouskasvua.﻿
13,Hallituksen esityksen mukaiseen sote-uudistukseen liittyvät mahdolliset kannusteongelmat ovat suurempia kuin valinnanvapausmallista koituva hyöty.﻿
14,"Voimakkaampi finanssipolitiikan keventäminen (verojen alentaminen, valtion menojen lisääminen) olisi viime vuosina elvytysvaikutusten takia pienentänyt valtion velkaa suhteessa bruttokansantuotteeseen.﻿"
15,"Koska on epätodennäköistä, että valtionyhtiöt voisivat jatkuvasti pärjätä yksityisesti omistettuja yhtiöitä paremmin, on niiden myynti perusteltua (ei koske huoltovarmuuden kannalta elintärkeitä yhtiöitä).﻿"
16,Eurosta on tähän mennessä ollut Suomelle enemmän hyötyä kuin haittaa.﻿
17,Sipilän hallituksen ajama kilpailukykysopimus oli Suomen talouskasvun kannalta oikeansuuntainen ratkaisu.﻿
18,"Suomen on järkevää tukea telakoitaan kilpailukyvyn turvaamiseksi, koska useimmissa muissakin maissa tehdään niin.﻿"
19,"Pieniä yrityksiä kannattaa suosia ylimääräisin verohelpotuksin tai yritystuin, koska uudet työpaikat syntyvät pääsääntöisesti niihin.﻿"
20,Äkillisen rakennemuutoksen alueille suunnatut tuet hidastavat rakennemuutosta ja ovat siksi haitallisia.﻿
21,"Vuokrasääntelyllä pitäisi pyrkiä hillitsemään vuokrien nousua, vaikka se tarkoittaisi vuokra-asuntotarjonnan pienenemistä.﻿"
22,Kotitalousvähennys on tehokas tapa torjua harmaata taloutta.﻿
